Noble,Trenton,110604407,101
Villegas,Terrance,110604409,60
Cordova,Shayna,110604410,87
Zhang,Ericka,110604415,57
Riddle,Noelle,110604416,82
Jimenez,Nicole,110604418,79
Mosley,Carl,110604420,100
Bradley,Johanna,110604423,62
Pacheco,Joanna,110604427,103
Cruz,Elena,110604430,77
Arroyo,Lawrence,110604432,79
Henderson,Leo,110604434,101
Hinton,Joy,110604439,83
Tyler,Sean,110604444,72
Mcdonald,Eli,110604448,90
Tucker,Alisha,110604453,80
Glenn,Terence,110604454,97
Stewart,Krystle,110604457,69
Marshall,Melody,110604461,98
Villarreal,Luke,110604464,98
Kline,Keisha,110604466,86
Glass,Lyndsey,110604469,56
Russo,Claudia,110604470,73
Cohen,Oscar,110604473,53
Wilson,Dylan,110604476,54
Cordova,Norma,110604477,88
Park,Ana,110604482,93
Davidson,Erick,110604483,67
Reynolds,Britney,110604488,59
Finley,Landon,110604491,62
Rocha,Brady,110604496,63
Rojas,Gloria,110604498,62
Romero,Anita,110604501,95
White,Blanca,110604503,92
Woodard,Abby,110604507,70
Gates,Armando,110604510,57
Huang,John,110604511,91
Beasley,Jaclyn,110604515,76
George,Sarah,110604517,76
Vargas,Leo,110604521,76
Riddle,Melissa,110604526,84
Hubbard,Paula,110604528,94
Estrada,Clarissa,110604532,72
Jacobson,Steve,110604534,75
Dodson,Ivan,110604537,75
Burton,Sydney,110604539,74
Gay,Ethan,110604542,75
Buchanan,Beau,110604546,64
Branch,Sylvia,110604549,71
Graham,Tessa,110604554,53
Poole,Denise,110604557,74
Ward,Desmond,110604561,82
Rosales,Maurice,110604562,96
Moyer,Judith,110604567,57
Mullen,Branden,110604570,100
Davidson,Domonique,110604573,91
Nash,Christa,110604575,79
Chaney,Rodolfo,110604578,92
Bennett,Randy,110604579,84
Moon,Kari,110604581,81
Harrison,Kristin,110604586,50
Horne,Krystal,110604591,61
Hammond,Rolando,110604594,89
Barker,Byron,110604597,78
Montoya,Jaime,110604598,67
Lawson,Natalia,110604603,81
Mendez,Anne,110604604,51
Molina,Leann,110604605,65
Gutierrez,Anita,110604606,75
Cardenas,Raven,110604608,91
Ellis,Jacob,110604611,71
Swanson,Salvador,110604614,86
Washington,Bradford,110604617,98
Boone,Peter,110604618,56
Ray,Stacey,110604619,89
Fritz,Lonnie,110604624,77
Wells,Jared,110604627,56
Mcpherson,Bianca,110604632,86
Tucker,Alyson,110604633,76
Dawson,Robin,110604635,80
Franco,Danny,110604640,79
Ibarra,Dillon,110604641,72
Shields,Cole,110604643,74
